age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,contactado_previamente,rango_edad
35,technician,married,university.degree,no,no,yes,telephone,mayo,lunes,99,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
59,technician,married,professional.course,no,yes,no,telephone,mayo,lunes,93,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
39,self-employed,married,basic,unknown,no,no,telephone,mayo,lunes,233,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
54,technician,single,university.degree,unknown,no,no,telephone,mayo,lunes,255,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
55,admin,married,university.degree,unknown,yes,no,telephone,mayo,lunes,362,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
46,admin,married,university.degree,no,no,no,telephone,mayo,lunes,348,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
59,technician,married,professional.course,no,yes,no,telephone,mayo,lunes,386,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
49,blue-collar,married,basic,no,no,no,telephone,mayo,lunes,73,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
54,management,married,basic,unknown,yes,no,telephone,mayo,lunes,230,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
54,blue-collar,divorced,basic,no,no,no,telephone,mayo,lunes,208,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
55,admin,married,basic,unknown,yes,no,telephone,mayo,lunes,336,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
34,services,married,high.school,no,no,no,telephone,mayo,lunes,365,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
52,technician,married,basic,no,yes,no,telephone,mayo,lunes,1666,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
41,admin,married,university.degree,no,yes,no,telephone,mayo,lunes,577,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
56,technician,married,basic,no,yes,no,telephone,mayo,lunes,137,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
58,management,married,university.degree,no,yes,no,telephone,mayo,lunes,366,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
32,entrepreneur,married,high.school,no,yes,no,telephone,mayo,lunes,314,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
38,admin,single,professional.course,no,no,no,telephone,mayo,lunes,160,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
57,admin,married,university.degree,no,no,yes,telephone,mayo,lunes,212,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
44,admin,married,university.degree,unknown,yes,no,telephone,mayo,lunes,188,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,technician,single,professional.course,unknown,no,no,telephone,mayo,lunes,22,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
57,admin,married,university.degree,no,yes,yes,telephone,mayo,lunes,616,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
40,blue-collar,married,basic,no,no,yes,telephone,mayo,lunes,178,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
35,admin,married,university.degree,no,yes,no,telephone,mayo,lunes,355,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
45,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,225,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
54,admin,married,high.school,no,no,no,telephone,mayo,lunes,160,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
39,housemaid,married,basic,no,no,yes,telephone,mayo,lunes,266,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
60,admin,married,high.school,no,no,no,telephone,mayo,lunes,253,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
53,admin,single,professional.course,no,no,no,telephone,mayo,lunes,179,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
55,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,269,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
55,technician,married,professional.course,unknown,yes,no,telephone,mayo,lunes,135,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
50,management,married,university.degree,unknown,no,yes,telephone,mayo,lunes,161,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
45,services,married,high.school,unknown,yes,no,telephone,mayo,lunes,787,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
55,unemployed,married,professional.course,unknown,yes,yes,telephone,mayo,lunes,145,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
25,technician,single,university.degree,no,yes,no,telephone,mayo,lunes,174,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
47,entrepreneur,married,university.degree,unknown,no,no,telephone,mayo,lunes,449,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
51,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,812,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
42,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,164,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,366,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
48,admin,married,high.school,no,no,no,telephone,mayo,lunes,357,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
37,admin,married,university.degree,no,no,no,telephone,mayo,lunes,232,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
44,blue-collar,single,basic,no,yes,no,telephone,mayo,lunes,91,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
33,admin,married,university.degree,no,yes,no,telephone,mayo,lunes,273,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
56,admin,married,basic,no,yes,no,telephone,mayo,lunes,158,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
44,blue-collar,single,basic,unknown,yes,yes,telephone,mayo,lunes,177,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
41,management,married,basic,no,no,no,telephone,mayo,lunes,200,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
44,management,divorced,university.degree,no,yes,no,telephone,mayo,lunes,172,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
47,admin,married,university.degree,unknown,yes,no,telephone,mayo,lunes,176,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
57,admin,married,basic,unknown,no,no,telephone,mayo,lunes,211,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
37,admin,married,university.degree,unknown,yes,no,telephone,mayo,lunes,214,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
41,blue-collar,divorced,basic,unknown,yes,no,telephone,mayo,lunes,1575,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,Adultos (30-45)
55,technician,married,university.degree,no,no,no,telephone,mayo,lunes,349,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
33,services,married,high.school,unknown,yes,no,telephone,mayo,lunes,337,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
55,management,married,university.degree,unknown,yes,no,telephone,mayo,lunes,272,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
42,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,208,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
50,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,193,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
51,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,212,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
38,admin,married,high.school,unknown,no,no,telephone,mayo,lunes,165,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
49,entrepreneur,married,university.degree,unknown,yes,no,telephone,mayo,lunes,1042,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,Maduros (45-60)
38,technician,single,university.degree,no,no,yes,telephone,mayo,lunes,20,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
31,admin,divorced,high.school,no,no,no,telephone,mayo,lunes,246,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
41,management,married,basic,no,no,no,telephone,mayo,lunes,529,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
39,admin,married,university.degree,no,yes,yes,telephone,mayo,lunes,192,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
49,technician,married,basic,no,no,no,telephone,mayo,lunes,1467,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,Maduros (45-60)
34,admin,married,high.school,no,yes,no,telephone,mayo,lunes,188,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
35,admin,married,university.degree,no,yes,no,telephone,mayo,lunes,180,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
57,admin,married,basic,unknown,yes,no,telephone,mayo,lunes,48,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
60,admin,married,university.degree,unknown,no,yes,telephone,mayo,lunes,213,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
33,unemployed,married,basic,no,no,no,telephone,mayo,lunes,545,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,blue-collar,married,basic,no,no,yes,telephone,mayo,lunes,583,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
45,services,married,professional.course,no,yes,no,telephone,mayo,lunes,221,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,management,married,university.degree,no,no,no,telephone,mayo,lunes,426,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
53,admin,divorced,university.degree,unknown,no,no,telephone,mayo,lunes,287,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
37,technician,single,professional.course,no,no,no,telephone,mayo,lunes,197,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
44,blue-collar,married,basic,no,no,no,telephone,mayo,lunes,257,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
54,services,married,high.school,no,yes,no,telephone,mayo,lunes,229,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
49,blue-collar,married,basic,no,no,no,telephone,mayo,lunes,55,3.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
54,services,married,high.school,no,no,no,telephone,mayo,lunes,400,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
52,admin,divorced,university.degree,no,no,no,telephone,mayo,lunes,197,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
52,admin,divorced,university.degree,no,no,no,telephone,mayo,lunes,190,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
43,services,single,high.school,unknown,no,no,telephone,mayo,lunes,21,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
34,housemaid,married,basic,no,yes,no,telephone,mayo,lunes,300,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
35,admin,married,high.school,no,yes,no,telephone,mayo,lunes,123,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,entrepreneur,married,university.degree,unknown,yes,no,telephone,mayo,lunes,293,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
43,technician,married,professional.course,unknown,yes,yes,telephone,mayo,lunes,325,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
60,retired,divorced,university.degree,unknown,no,no,telephone,mayo,lunes,514,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
58,unemployed,married,basic,unknown,no,no,telephone,mayo,lunes,849,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
35,services,divorced,high.school,no,yes,no,telephone,mayo,lunes,194,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
55,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,212,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
37,management,married,university.degree,no,no,no,telephone,mayo,lunes,337,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
36,blue-collar,married,high.school,no,no,no,telephone,mayo,lunes,286,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
52,admin,divorced,university.degree,no,no,no,telephone,mayo,lunes,247,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
57,blue-collar,divorced,basic,unknown,yes,no,telephone,mayo,lunes,518,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
56,admin,married,university.degree,no,yes,no,telephone,mayo,lunes,364,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
48,blue-collar,divorced,basic,unknown,yes,no,telephone,mayo,lunes,178,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
40,blue-collar,married,high.school,unknown,yes,no,telephone,mayo,lunes,98,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
49,blue-collar,divorced,high.school,no,no,no,telephone,mayo,lunes,439,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
41,services,married,high.school,no,no,no,telephone,mayo,lunes,139,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
45,technician,married,high.school,no,yes,no,telephone,mayo,lunes,79,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
32,admin,married,university.degree,no,yes,yes,telephone,mayo,lunes,175,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,admin,married,university.degree,no,no,yes,telephone,mayo,lunes,262,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
50,admin,married,basic,no,no,no,telephone,mayo,lunes,61,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
31,technician,divorced,professional.course,no,yes,yes,telephone,mayo,lunes,78,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
56,retired,married,basic,no,yes,no,telephone,mayo,lunes,102,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
41,technician,married,professional.course,unknown,yes,no,telephone,mayo,lunes,579,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,Adultos (30-45)
37,blue-collar,married,basic,no,yes,yes,telephone,mayo,lunes,143,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
41,technician,married,professional.course,unknown,no,no,telephone,mayo,lunes,677,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
35,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,267,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
37,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,345,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
52,management,married,university.degree,no,no,no,telephone,mayo,lunes,185,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
39,management,divorced,university.degree,no,no,no,telephone,mayo,lunes,207,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
39,housemaid,married,basic,unknown,no,no,telephone,mayo,lunes,69,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
56,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,100,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
34,services,married,high.school,no,yes,no,telephone,mayo,lunes,125,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
45,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,461,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,0,Adultos (30-45)
43,unemployed,single,university.degree,no,yes,no,telephone,mayo,lunes,240,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
56,management,married,university.degree,no,yes,no,telephone,mayo,lunes,70,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
39,management,married,university.degree,no,yes,no,telephone,mayo,lunes,193,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
53,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,136,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
38,admin,divorced,high.school,unknown,yes,no,telephone,mayo,lunes,73,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,528,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,541,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
35,admin,single,high.school,no,yes,no,telephone,mayo,lunes,338,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
40,admin,married,university.degree,unknown,yes,no,telephone,mayo,lunes,163,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
51,blue-collar,married,basic,no,yes,no,telephone,mayo,lunes,87,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
60,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,301,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
56,entrepreneur,married,university.degree,unknown,yes,no,telephone,mayo,lunes,46,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
39,services,divorced,high.school,unknown,yes,no,telephone,mayo,lunes,52,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
56,entrepreneur,married,university.degree,unknown,no,no,telephone,mayo,lunes,204,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
40,blue-collar,married,basic,no,yes,yes,telephone,mayo,lunes,155,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
36,blue-collar,married,basic,no,yes,yes,telephone,mayo,lunes,98,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
51,blue-collar,married,basic,unknown,yes,no,telephone,mayo,lunes,71,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
51,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,243,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
43,technician,single,professional.course,no,yes,no,telephone,mayo,lunes,186,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
59,services,married,high.school,no,no,no,telephone,mayo,lunes,579,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Maduros (45-60)
24,management,single,university.degree,no,yes,no,telephone,mayo,lunes,165,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Jóvenes (<30)
37,blue-collar,single,basic,unknown,yes,yes,telephone,mayo,lunes,163,2.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
40,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,46,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
42,blue-collar,married,basic,unknown,no,no,telephone,mayo,lunes,559,3.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
39,services,divorced,high.school,unknown,no,no,telephone,mayo,lunes,2033,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
37,entrepreneur,married,basic,no,no,no,telephone,mayo,lunes,85,1.0,,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,Adultos (30-45)
